timestamp,attack,defense,partition,seed,alpha,group,return_code,duration_sec,final_round,accuracy,f1,asr,stderr_tail
2026-03-13T23:58:37,clean,median,iid,43,,matrix_fullscale_clean_median_iid_s43,0,612.51,20,92.32,0.94,0.0,"e on GitHub for any issues related to this experimental feature.
  data = torch.load(path)
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading output.log; uploading wandb-summary.json
wandb: uploading history steps 18-19, summary, console lines 319-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▂▃▅▆▇▇▇▇▇▇██▇▇▆▇▇▇▇
wandb: f1-score ▁▁▂▅▆▇▆▇▇▇▆▇█▆▇▅▇▆▇▆
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 92.32366
wandb: f1-score 0.93736
wandb: 
wandb: 🚀 View run ancient-resonance-603 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/5z1lxy1f
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260313_234833-5z1lxy1f/logs"
2026-03-14T00:09:08,clean,median,iid,44,,matrix_fullscale_clean_median_iid_s44,0,630.51,20,92.82,0.94,0.0,"d(path)
wandb: updating run metadata
wandb: updating run metadata; uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json
wandb: uploading wandb-summary.json; uploading config.yaml; uploading history steps 18-19, summary, console lines 318-329
wandb: uploading history steps 18-19, summary, console lines 318-329
wandb: uploading data
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▃▄▄▅▆▇▇▇▇▇▅▇█▆▇▇▇██
wandb: f1-score ▁▃▃▄▄▆▆▇▆▆▇▄▇█▅▇▆▆██
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 92.82041
wandb: f1-score 0.94196
wandb: 
wandb: 🚀 View run pretty-firefly-604 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/j3fqin3p
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260313_235846-j3fqin3p/logs"
2026-03-14T00:19:51,clean,median,dirichlet,42,0.5,matrix_fullscale_clean_median_dirichlet_s42,0,642.94,20,92.52,0.94,0.0,"ve full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  data = torch.load(path)
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 18-19, summary, console lines 320-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▂▄▅▅▆▆▆▆▇▇▇▇███████
wandb: f1-score ▁▂▄▅▅▅▆▆▆▇▇▇████████
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 92.52159
wandb: f1-score 0.94058
wandb: 
wandb: 🚀 View run distinctive-darkness-605 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/8qe6fy5d
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260314_000916-8qe6fy5d/logs"
2026-03-14T00:30:31,clean,median,dirichlet,43,0.5,matrix_fullscale_clean_median_dirichlet_s43,0,640.53,20,92.34,0.94,0.0,"b for any issues related to this experimental feature.
  data = torch.load(path)
wandb: updating run metadata
wandb: updating run metadata; uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading output.log; uploading config.yaml
wandb: uploading history steps 18-19, summary, console lines 321-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▂▅▅▆▆▆▇▇▇▇▇▇▇██████
wandb: f1-score ▁▂▅▅▆▆▆▆▇▇▆▇▇▇▇█████
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 92.33919
wandb: f1-score 0.94055
wandb: 
wandb: 🚀 View run unique-fire-606 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/jzje522t
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260314_002015-jzje522t/logs"
2026-03-14T00:41:26,clean,median,dirichlet,44,0.5,matrix_fullscale_clean_median_dirichlet_s44,0,654.47,20,92.54,0.94,0.0,"e on GitHub for any issues related to this experimental feature.
  data = torch.load(path)
wandb: updating run metadata
wandb: updating run metadata; uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json
wandb: uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 18-19, summary, console lines 321-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▂▃▅▅▆▆▆▇▇▇█▇███████
wandb: f1-score ▁▁▃▅▅▆▆▆▇▇▇█▇█▇█▇▇██
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 92.53905
wandb: f1-score 0.94125
wandb: 
wandb: 🚀 View run golden-snowflake-607 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/ht25yei5
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260314_003122-ht25yei5/logs"
2026-03-14T00:52:33,clean,median,pathological,42,,matrix_fullscale_clean_median_pathological_s42,0,667.2,20,92.64,0.94,0.0,"e.
  data = torch.load(path)
wandb: uploading console lines 315-320; updating run metadata
wandb: uploading console lines 315-320; uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 18-19, summary, console lines 321-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▁▃▄▅▅▅▅▆▇▇▇▇▇▇███▇█
wandb: f1-score ▃▁▄▅▅▅▅▆▆▇▇▇▇▇▇█▇█▇█
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 92.63995
wandb: f1-score 0.94149
wandb: 
wandb: 🚀 View run stellar-haze-608 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/ut7lh356
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260314_004217-ut7lh356/logs"
2026-03-14T01:03:04,clean,median,pathological,43,,matrix_fullscale_clean_median_pathological_s43,0,631.38,20,90.78,0.92,0.0,"e on GitHub for any issues related to this experimental feature.
  data = torch.load(path)
wandb: updating run metadata
wandb: updating run metadata; uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json
wandb: uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 18-19, summary, console lines 321-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▅▇▇████████████████
wandb: f1-score ▁▄▇▇███████████▇█▇█▇
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 90.78296
wandb: f1-score 0.92352
wandb: 
wandb: 🚀 View run efficient-valley-609 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/urxn2yxf
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260314_005322-urxn2yxf/logs"
2026-03-14T01:13:22,clean,median,pathological,44,,matrix_fullscale_clean_median_pathological_s44,0,617.47,20,92.55,0.94,0.0," GitHub for any issues related to this experimental feature.
  data = torch.load(path)
wandb: uploading console lines 317-323; updating run metadata
wandb: uploading console lines 317-323; uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 18-19, summary, console lines 324-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▅▇▇▇▇▇█▇████████▇██
wandb: f1-score ▁▄▆▇▇▇▇▇▇▇▇████▇█▇██
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 92.55263
wandb: f1-score 0.94039
wandb: 
wandb: 🚀 View run electric-snow-610 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/7kw8c4s7
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260314_010343-7kw8c4s7/logs"
2026-03-14T01:24:07,clean,trimmed_mean,iid,42,,matrix_fullscale_clean_trimmed_mean_iid_s42,0,645.29,20,93.15,0.95,0.0,"sue on GitHub for any issues related to this experimental feature.
  data = torch.load(path)
wandb: updating run metadata
wandb: updating run metadata; uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json
wandb: uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 18-19, summary, console lines 320-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▃▃▄▅▅▆▆▅▇▇▇▇███▇█▇█
wandb: f1-score ▁▃▃▃▅▄▅▆▅▆▆▆▇█▇█▇█▇█
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 93.15223
wandb: f1-score 0.94526
wandb: 
wandb: 🚀 View run dulcet-firefly-611 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/pg6mnha8
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260314_011405-pg6mnha8/logs"
2026-03-14T01:34:04,clean,trimmed_mean,iid,43,,matrix_fullscale_clean_trimmed_mean_iid_s43,0,597.21,20,92.84,0.94,0.0,"mental feature.
  data = torch.load(path)
wandb: updating run metadata
wandb: updating run metadata; uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading wandb-summary.json; uploading config.yaml
wandb: uploading config.yaml
wandb: uploading history steps 18-19, summary, console lines 320-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▂▃▅▆▆▆▇▇▇▇██▇▇▇▇███
wandb: f1-score ▁▁▂▄▅▆▆▆▆▇▆▇█▇▇▇▇▇█▇
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 92.8437
wandb: f1-score 0.94211
wandb: 
wandb: 🚀 View run visionary-oath-612 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/eonexzdb
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260314_012420-eonexzdb/logs"
2026-03-14T01:43:56,clean,trimmed_mean,iid,44,,matrix_fullscale_clean_trimmed_mean_iid_s44,0,591.34,20,92.95,0.94,0.0,"any issues related to this experimental feature.
  data = torch.load(path)
wandb: updating run metadata
wandb: updating run metadata; uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading output.log; uploading config.yaml
wandb: uploading history steps 18-19, summary, console lines 320-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▃▄▄▅▆▇▇▇▇▇▇██▇██▇██
wandb: f1-score ▁▃▃▄▄▆▇▇▇▆▇▆██▇▇█▇██
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 92.9543
wandb: f1-score 0.94324
wandb: 
wandb: 🚀 View run dazzling-microwave-613 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/w014hxby
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260314_013412-w014hxby/logs"
2026-03-14T01:53:59,clean,trimmed_mean,dirichlet,42,0.5,matrix_fullscale_clean_trimmed_mean_dirichlet_s42,0,603.34,20,92.5,0.94,0.0,"e open an issue on GitHub for any issues related to this experimental feature.
  data = torch.load(path)
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading output.log; uploading config.yaml
wandb: uploading history steps 18-19, summary, console lines 322-329
wandb: 
wandb: Run history:
wandb:      ASR ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: Accuracy ▁▂▄▅▅▆▆▆▆▇▇▇▇▇██████
wandb: f1-score ▁▂▃▅▅▅▆▆▆▆▇▇▇▇██████
wandb: 
wandb: Run summary:
wandb:      ASR 0
wandb: Accuracy 92.50218
wandb: f1-score 0.94125
wandb: 
wandb: 🚀 View run trim-frost-614 at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids/runs/jd1i3sk0
wandb: ⭐️ View project at: https://wandb.ai/fyp-group8/e20-4yp-backdoor-resilient-federated-nids
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260314_014404-jd1i3sk0/logs"
